	I          ^-^o━━━━━━━━━━更多直播源o^-^       ━━━━━━━I    

                   			如何做到找源不再求人，自己更新

                    				 尽在微信公众号【播吗影视】

						   bom_player   
                   
    				 输入关键词【直播源】这三个字即可下载最新直播源  你懂得！  

                        			 每日更新

 					QQ群 230441911欢迎大家的加入每日更新源

                                  方便视频爱好者们每日下载――最新最给力直播源

                   I                  ^-^o━━━━━━━━━━每日更新o^-^        I   
台視,rtmp://wv4.tp33.net/sat/tv071
中視,rtmp://wv4.tp33.net/sat/tv091
華視,rtmp://wv4.tp33.net/sat/tv111
民視,rtmp://wv4.tp33.net/sat/tv051
緯來育樂,rtmp://wv4.tp33.net/sat/tv701
緯來日本,rtmp://wv4.tp33.net/sat//tv761
緯來體育,rtmp://wv4.tp33.net/sat/tv721
Fox-1運動,rtmp://wv4.tp33.net/sat/tv731
Fox-2運動,rtmp://wv4.tp33.net/sat/tv741
博斯運動,rtmp://wv4.tp33.net/sat//md011
東森財經新聞,rtmp://wv4.tp33.net/sat/tv571
愛爾達體育,rtmp://wv4.tp33.net/sat/md031
愛爾達足球,rtmp://wv4.tp33.net/sat/md021
博斯電玩台,rtmp://wv4.tp33.net/sat/md041
愛爾達足球,rtmp://wv4.tp33.net/sat/md051
球彩台,rtmp://wv4.tp33.net/sat/hk011
體育台,rtmp://wv4.tp33.net/sat/hk021
廣東衛視,rtmp://wv4.tp33.net/sat/hk031
香港足球,rtmp://wv4.tp33.net/sat/hk041
